Row #,Species,Count,Location,S/P,Date,LocID,SubID
2943,Rufous-winged Tyrannulet,2,Reserva Mangaloma,EC-P,07 May 2006,L600104,S26162760
2944,Sulphur-bellied Tyrannulet,1,San Antonio de las Montañas,EC-T,15 May 2006,L4058208,S26224899
2945,Black-crested Tit-Tyrant,1,Reserva Utuana,EC-L,18 Dec 2007,L679198,S26162812
2946,Pied-crested Tit-Tyrant,1,Road above San Damian,PE-ANC,25 Jan 2010,L863312,S6591619
2947,Ash-breasted Tit-Tyrant,2,ACP Abra Málaga Thastayoc Royal Cinclodes,PE-CUS,23 Mar 2011,L512692,S26254058
2948,Yellow-billed Tit-Tyrant,1,Bosque Unchog (Valqui D5.3),PE-HUC,10 Dec 2009,L602837,S6591564
2949,Tufted Tit-Tyrant,2,Papallacta--La Virgen y alrededores inmediatos (Pass and immediate vicinity),EC-N,27 Apr 2006,L1491931,S26224908
2950,Agile Tit-Tyrant,2,Cerro Acanama and road to radio towers,EC-L,20 Dec 2007,L2805359,S26162775
2951,Unstreaked Tit-Tyrant,4,Abra Málaga--Upper Temperate Forest (3400-3200m),PE-CUS,24 Mar 2011,L892338,S26254057
2952,Mouse-colored Tyrannulet,1,Laguna de Unare,VE-B,28 Dec 2006,L2473554,S26161648
2953,Yellow Tyrannulet,,La Selva (OTS Reserve)--entrance road,CR-H,27 Dec 2003,L1144831,S30625732
2954,Subtropical Doradito,2,Parque La Florida,CO-CUN,18 Jun 2010,L656882,S6578616
2955,Ticking Doradito,1,Río Maipo--Desembocadura,CL-VS,03 Nov 2012,L504553,S27876027
2956,Yellow-crowned Tyrannulet,1,Reserva Mangaloma,EC-P,05 Apr 2006,L600104,S26162418
2957,Forest Elaenia,1,La Guatemala,EC-T,16 May 2006,L4052363,S26162778
2958,Gray Elaenia,1,Reserva Mangaloma,EC-P,03 May 2006,L600104,S26162429
2959,Foothill Elaenia,4,PN Podocarpus--Río Bombuscaro,EC-Z,21 Dec 2007,L482424,S26162771
2960,Pacific Elaenia,1,Pacoche--Refugio de Vida Silvestre,EC-M,21 May 2006,L1208286,S26162766
2961,Yellow-crowned Elaenia,1,Laguna Pañacocha,EC-U,19 Jun 2006,L2706233,S26162843
2962,Jamaican Elaenia,1,Blue Mountains NP--Starlight Chalet,JM-02,16 Mar 2016,L4316426,S28251196
2963,Greenish Elaenia,,PN Carara--Sendero La Meandrica,CR-P,06 Jan 2004,L442257,S30625683
2964,Caribbean Elaenia,4,Bosque Estatal de Guanica--334,PR-GC,04 Mar 2016,L293187,S27987025
2965,Yellow-bellied Elaenia,,San Vito--aeropeurto y lagunas San Joaquin,CR-P,23 Dec 2003,L446379,S30625756
2966,Large Elaenia,1,Gareno Lodge,EC-N,06 Jun 2006,L1051380,S26162751
2967,White-crested Elaenia,10,Cerro Acanama and road to radio towers,EC-L,20 Dec 2007,L2805359,S26162775
2968,Small-billed Elaenia,1,Trece de Junio,CO-VAU,13 Jun 2011,L1193331,S26147673
2969,Olivaceous Elaenia,1,Ubatuba--Fazenda Angelim,BR-SP,17 Nov 2015,L786356,S26235670
2970,Mottle-backed Elaenia,1,Cascada de San Rafael--Entrance road and trail to waterfall,EC-N,29 Apr 2006,L577535,S26162777
2971,Brownish Elaenia,1,Islas del Rio Amazonas de Iquitos,PE-LOR,30 Dec 2009,L853885,S6591592
2972,Plain-crested Elaenia,1,Hato El Porvenir,VE-E,08 Jan 2007,L4052211,S26161658
2973,Lesser Elaenia,2,PN Sierra Nevada--Carretera La Soledad,VE-E,13 Jan 2007,L2145310,S26161679
2974,Coopmans's Elaenia,2,Awa (La Union) Road,EC-E,31 Jul 2011,L2166918,S26261210
2975,Rufous-crowned Elaenia,2,Trece de Junio,CO-VAU,13 Jun 2011,L1193331,S26147673
2976,Mountain Elaenia,,Cerro de la Muerte--Rest. La Georgina,CR-C,21 Dec 2003,L1126285,S30625773
2977,Greater Antillean Elaenia,1,El Aceitillar,DO-16,13 Feb 2016,L296441,S27577360
2978,Highland Elaenia,10,Abra Maruncunca (Valqui 7.3),PE-PUN,08 Nov 2009,L2293372,S27891713
2979,Great Elaenia,2,"PN Canaima--Roraima, Camp. Base",VE-F,02 Jul 2008,L2340677,S27893723
2980,Sierran Elaenia,1,Old Loja-Zamora Rd.,EC-Z,23 Dec 2007,L894839,S26162813
2981,Torrent Tyrannulet,1,Kiri Lodge,CR-C,20 Dec 2003,L1126300,S30625778
2982,River Tyrannulet,2,Islas del Rio Amazonas de Iquitos,PE-LOR,30 Dec 2009,L853885,S6591592
2983,White-crested Tyrannulet,1,Old Cochabamba Highway -- east of Comarapa,BO-S,16 Aug 2013,L2322937,S15100363
2984,White-bellied Tyrannulet,1,Refugio Los Volcanes -- entrance road,BO-S,14 Aug 2013,L2324768,S15100369
2985,Streak-necked Flycatcher,5,Bellavista Cloud Forest Lodge,EC-P,15 Apr 2006,L468896,S26162809
2986,Olive-striped Flycatcher,,La Selva (OTS Reserve),CR-H,29 Dec 2003,L436195,S30625720
2987,Ochre-bellied Flycatcher,,Esquinas Rainforest Lodge,CR-P,24 Dec 2003,L1026422,S30625748
2988,McConnell's Flycatcher,1,La Escalera,VE-F,31 Dec 2006,L1151002,S26161395
2989,Gray-hooded Flycatcher,2,PE Intervales,BR-SP,15 Nov 2015,L972187,S26217583
2990,Sepia-capped Flycatcher,1,Zona Arqueológica Palenque,MX-CHP,12 Jan 2006,L305877,S26225826
2991,Slaty-capped Flycatcher,,Wilson Botanical Garden (OTS Las Cruces),CR-P,22 Dec 2003,L441320,S30625757
2992,Rufous-breasted Flycatcher,1,San Antonio de las Montañas,EC-T,14 May 2006,L4058208,S26224901
2993,Inca Flycatcher,4,ACP Abra Patricia--Owlet Lodge,PE-AMA,05 Jan 2010,L1849237,S6591596
2994,Variegated Bristle-Tyrant,1,Cascada de San Rafael--Entrance road and trail to waterfall,EC-N,29 Apr 2006,L577535,S26162777
2995,Chapman's Bristle-Tyrant,3,"PN Canaima--Roraima, Camp. Base",VE-F,02 Jul 2008,L2340677,S27893723
2996,Marble-faced Bristle-Tyrant,5,Tucanopy Lodge and Reserve,EC-P,04 Apr 2006,L2248448,S26162768
2997,Venezuelan Bristle-Tyrant,1,PN Henri Pittier--Rancho Grande 2,VE-D,20 Dec 2006,L721149,S26161651
2998,Antioquia Bristle-Tyrant,1,RN Bellavista,CO-CAL,29 Jun 2011,L4465017,S26147718
2999,Spectacled Bristle-Tyrant,1,Cascada de San Rafael--Entrance road and trail to waterfall,EC-N,28 Apr 2006,L577535,S26162772
3000,Southern Bristle-Tyrant,,PN Iguazú,AR-N,05 Aug 2012,L4324014,S27901972
3001,Mottle-cheeked Tyrannulet,7,Abra Maruncunca (Valqui 7.3),PE-PUN,08 Nov 2009,L2293372,S27891713
3002,Yellow-green Tyrannulet,1,Pipeline Road  (Camino del Oleoducto) General area,PA-3,24 Mar 2009,L454711,S6591690
3003,Ecuadorian Tyrannulet,2,La Guatemala,EC-T,16 May 2006,L4052363,S26162778
3004,Black-fronted Tyrannulet,12,La Escalera,VE-F,01 Jan 2007,L1151002,S26161396
3005,Rufous-browed Tyrannulet,3,RNA Arrierito Antioqueño (Chestnut-capped Piha Reserve),CO-ANT,17 Jun 2011,L603931,S26147687
3006,Rufous-lored Tyrannulet,1,PN Henri Pittier--Rancho Grande 2,VE-D,21 Dec 2006,L721149,S26161653
3007,Cinnamon-faced Tyrannulet,2,Hacienda Carmen,PE-PAS,17 Nov 2013,L4320205,S27876044
3008,Sao Paulo Tyrannulet,1,PE Intervales,BR-SP,15 Nov 2015,L972187,S26217583
3009,Oustalet's Tyrannulet,1,PE Intervales,BR-SP,14 Nov 2015,L972187,S26217582
3010,Serra do Mar Tyrannulet,1,PN Itatiaia--Agulhas Negras Rd (1700-2400m),BR-RJ,21 Nov 2015,L787488,S25963307
3011,Bay-ringed Tyrannulet,1,PE Intervales,BR-SP,14 Nov 2015,L972187,S26217582
3012,Rough-legged Tyrannulet,1,La Guatemala,EC-T,17 May 2006,L4052363,S26162774
3013,Greenish Tyrannulet,2,PN Itatiaia--Agulhas Negras Rd (1700-2400m),BR-RJ,21 Nov 2015,L787488,S25963307
3014,Sclater's Tyrannulet,15,Refugío Los Volcanes,BO-S,15 Aug 2013,L3401986,S15100367
3015,Planalto Tyrannulet,2,PE Intervales,BR-SP,14 Nov 2015,L972187,S26217582
