Row #,Species,Count,Location,S/P,Date,LocID,SubID
50,Tundra Bean-Goose - Anser serrirostris,2,加賀市--片野鴨池/鴨池観察館 (Kaga--Katano Kamoike / Kamoike Observation Center),JP-17,19 Dec 2013,L1483149,S16022969
51,Pink-footed Goose - Anser brachyrhynchus,2,Newport,US-RI,22 Jan 2007,L113071,S3704679
52,Brant - Branta bernicla,,Boston Harbor Islands National Recreation Area--IBA,US-MA,11 Nov 2005,L207352,S6236516
53,Barnacle Goose - Branta leucopsis,1,Concord Rotary Prison Fields,US-MA,14 Oct 2007,L358388,S3703462
54,Cackling Goose - Branta hutchinsii,1,Plymouth,US-MA,27 Dec 2005,L111994,S3704692
55,Canada Goose - Branta canadensis,,Manomet Inc.,US-MA,31 Aug 2004,L207383,S3701848
56,Cape Barren Goose - Cereopsis novaehollandiae,11,"Lakeland Wetlands, Lara",AU-VIC,07 Dec 2017,L2548472,S41005560
57,Freckled Duck - Stictonetta naevosa,19,"Begola Wetlands, Ocean Grove",AU-VIC,07 Dec 2017,L2548630,S41005568
58,Blue-winged Goose - Cyanochen cyanoptera,1,Debre Libanos--Lodge and Portuguese Bridge,ET-OR,19 Dec 2014,L1550631,S21327441
59,Mute Swan - Cygnus olor,,Manomet Inc.,US-MA,31 Aug 2004,L207383,S3701848
60,Black Swan - Cygnus atratus,2,Camargue--Mas d'Agon,FR-U,02 Apr 2014,L932858,S17705665
61,Black-necked Swan - Cygnus melancoryphus,74,Chacao,CL-LL,04 Feb 2010,L488817,S5862504
62,Trumpeter Swan - Cygnus buccinator,2,Seward Highway - roadside marsh,US-AK,13 Jul 2012,L1623235,S11150057
63,Tundra Swan - Cygnus columbianus,4,Point Lookout State Park,US-MD,08 Feb 2009,L126618,S4543580
64,Whooper Swan - Cygnus cygnus,12,羅臼村--羅臼漁港 (Rausu--Rausu Fishing Port),JP-01,26 Dec 2013,L1557969,S16086025
65,Coscoroba Swan - Coscoroba coscoroba,2,Caulín,CL-LL,05 Feb 2010,L516521,S5862510
66,Comb Duck - Sarkidiornis melanotos,1,Loja-Macara bus,EC-L,09 Jan 2010,L863247,S6083660
67,Andean Goose - Oressochen melanopterus,9,RN de Junín--Lago Junín/Chinchaycocha,PE-JUN,20 Nov 2009,L846513,S5877051
68,Upland Goose - Chloephaga picta,4,Laguna del Maule and environs,CL-ML,03 Feb 2010,L843341,S5853332
69,Kelp Goose - Chloephaga hybrida,17,MN Islotes de Puñihuil,CL-LL,05 Feb 2010,L571412,S5862506
70,Ashy-headed Goose - Chloephaga poliocephala,15,Yaldad,CL-LL,07 Feb 2010,L846316,S5875543
71,Egyptian Goose - Alopochen aegyptiaca,1,Sululta Plains -- stop #1,ET-OR,19 Dec 2014,L3289434,S21327432
72,Ruddy Shelduck - Tadorna ferruginea,2,Bale Mts--Goba escarpment,ET-OR,31 Dec 2014,L2099193,S21327340
73,Australian Shelduck - Tadorna tadornoides,1,"Calder Highway, Kurting AU-VIC (-36.5402,143.8130)",AU-VIC,03 Dec 2017,L6529550,S40896715
74,Common Shelduck - Tadorna tadorna,6,Huelva marshes to La Rocina,ES-AN,22 Apr 2008,L918615,S6490728
75,Radjah Shelduck - Tadorna radjah,4,Freshwater and Saltwater Lakes (Centenary Lakes),AU-QLD,27 Nov 2017,L3319994,S40775513
76,Spur-winged Goose - Plectropterus gambensis,35,Bishangari Lodge,ET-OR,28 Dec 2014,L2825615,S21296221
77,Flying Steamer-Duck - Tachyeres patachonicus,2,PN Conguillío,CL-AR,09 Feb 2010,L571161,S5888993
78,Flightless Steamer-Duck - Tachyeres pteneres,12,MN Islotes de Puñihuil,CL-LL,05 Feb 2010,L571412,S5862506
79,Crested Duck - Lophonetta specularioides,15,RN de Junín--Lago Junín/Chinchaycocha,PE-JUN,19 Nov 2009,L846513,S5877050
80,Spectacled Duck - Speculanas specularis,1,Lago Colbún,CL-ML,03 Feb 2010,L571417,S5853336
81,Muscovy Duck - Cairina moschata,2,Contamana River,PE-LOR,03 Dec 2009,L846515,S5877067
82,Green Pygmy-Goose - Nettapus pulchellus,20,Lake Mitchell--Quaids Dam,AU-QLD,29 Nov 2017,L949553,S40799947
83,Cotton Pygmy-Goose - Nettapus coromandelianus,3,Phetchaburi--Ban Khum fish ponds and paddies,TH-76,21 Feb 2017,L3563802,S34610793
84,African Pygmy-Goose - Nettapus auritus,6,Lake Ziway--southwest shore,ET-OR,29 Dec 2014,L1550649,S21525183
85,Wood Duck - Aix sponsa,,"Vinebrook/Arboretum Roads, Manomet",US-MA,30 May 2005,L3676241,S3703334
86,Mandarin Duck - Aix galericulata,34,安中市--妙義荒船林道--中木川谷 (Annaka--Myogi Arafune Forest Road--Nakagi River Valley),JP-10,17 Dec 2013,L2390901,S16001293
87,Maned Duck - Chenonetta jubata,14,University of Queensland--UQ Lakes,AU-QLD,24 Nov 2017,L1161285,S40702390
88,Brazilian Teal - Amazonetta brasiliensis,7,Riberalta--Hamburgo,BO-B,29 Aug 2013,L2337822,S15043890
89,Torrent Duck - Merganetta armata,4,Guango Lodge,EC-N,30 Nov 2008,L489428,S4346845
90,Baikal Teal - Sibirionetta formosa,2000,加賀市--片野鴨池/鴨池観察館 (Kaga--Katano Kamoike / Kamoike Observation Center),JP-17,19 Dec 2013,L1483149,S16022969
91,Garganey - Spatula querquedula,12,Camargue--Mas d'Agon,FR-U,02 Apr 2014,L932858,S17705665
92,Hottentot Teal - Spatula hottentota,4,Sululta Plains--pond complex,ET-OR,19 Dec 2014,L3236254,S21015489
93,Puna Teal - Spatula puna,60,RN de Junín--Lago Junín/Chinchaycocha,PE-JUN,19 Nov 2009,L846513,S5877050
94,Blue-winged Teal - Spatula discors,,Monroe,US-FL,28 Jan 2005,L111131,S3704704
95,Cinnamon Teal - Spatula cyanoptera,,Pima,US-AZ,14 Jan 2007,L110866,S3704678
96,Red Shoveler - Spatula platalea,8,Humedal Pudeto--norte,CL-LL,05 Feb 2010,L1033588,S5862508
97,Australian Shoveler - Spatula rhynchotis,60,Western Treatment Plant (Werribee)--T Section Ponds,AU-VIC,08 Dec 2017,L1174063,S41005564
98,Northern Shoveler - Spatula clypeata,,Essex,US-MA,01 Oct 2004,L111987,S3701908
99,Gadwall - Mareca strepera,,"Vinebrook Rd yard, Manomet",US-MA,18 Dec 2003,L4090838,S3703349
100,Falcated Duck - Mareca falcata,1,Karuizawa--small pond,JP-20,16 Dec 2013,L2467654,S15984493
101,Eurasian Wigeon - Mareca penelope,1,"Vinebrook Rd yard, Manomet",US-MA,18 Dec 2003,L4090838,S3703349
102,American Wigeon - Mareca americana,,"Vinebrook Rd yard, Manomet",US-MA,18 Dec 2003,L4090838,S3703349
103,Chiloe Wigeon - Mareca sibilatrix,9,Lago Colbún,CL-ML,02 Feb 2010,L571417,S5853335
104,Yellow-billed Duck - Anas undulata,25,Sululta Plains--pond complex,ET-OR,19 Dec 2014,L3236254,S21015489
105,Pacific Black Duck - Anas superciliosa,2,Luggage Point (restricted access due to construction 2018),AU-QLD,24 Nov 2017,L2559152,S40702350
106,Eastern Spot-billed Duck - Anas zonorhyncha,2,国頭村--安田--(株)ピッグファーム沖縄 (Kunigami--Ada Pig Farm),JP-47,10 Dec 2013,L1484228,S15966200
107,Mallard - Anas platyrhynchos,,Manomet Inc.,US-MA,02 Sep 2004,L207383,S3701776
108,American Black Duck - Anas rubripes,,Arlington Reservoir,US-MA,02 Oct 2004,L358557,S3701761
109,Mottled Duck - Anas fulvigula,2,Savannah NWR--Laurel Hill Wildlife Dr,US-SC,08 Jan 2012,L450139,S9539258
110,Cape Teal - Anas capensis,2,Lake Abijata--south end,ET-OR,29 Dec 2014,L3284706,S21296220
111,White-cheeked Pintail - Anas bahamensis,1,Refugio de Vida Silvestre Los Pantanos de Villa,PE-LIM,29 Nov 2009,L492947,S5877064
112,Red-billed Duck - Anas erythrorhyncha,4,Lake Cheleleka--NW viewpoint,ET-OR,10 Jan 2015,L3557628,S21525212
113,Northern Pintail - Anas acuta,,Parker River NWR,US-MA,27 Oct 2004,L129046,S3701648
114,Yellow-billed Pintail - Anas georgica,137,Lago San Pablo,EC-I,08 Jan 2009,L633169,S4448863
115,Green-winged Teal - Anas crecca,,"Vinebrook Rd yard, Manomet",US-MA,18 Dec 2003,L4090838,S3703349
116,Andean Teal - Anas andium,2,Papallacta--La Virgen y alrededores inmediatos (Pass and immediate vicinity),EC-N,30 Nov 2008,L1491931,S4346800
117,Yellow-billed Teal - Anas flavirostris,120,RN de Junín--Lago Junín/Chinchaycocha,PE-JUN,19 Nov 2009,L846513,S5877050
118,Gray Teal - Anas gracilis,2,Sandy Camp Road Wetlands,AU-QLD,24 Nov 2017,L1788977,S40702365
119,Chestnut Teal - Anas castanea,2,Luggage Point (restricted access due to construction 2018),AU-QLD,24 Nov 2017,L2559152,S40702350
120,Pink-eared Duck - Malacorhynchus membranaceus,54,"Priors Pocket, Moggill",AU-QLD,25 Nov 2017,L2558779,S40714697
121,Red-crested Pochard - Netta rufina,8,Laguna de Medina,ES-AN,08 Apr 2008,L918604,S6490716
122,Southern Pochard - Netta erythrophthalma,26,Lake Cheleleka--NW viewpoint,ET-OR,10 Jan 2015,L3557628,S21525212
123,Rosy-billed Pochard - Netta peposaca,2,Lago Colbún,CL-ML,03 Feb 2010,L571417,S5853336
124,Canvasback - Aythya valisineria,,Fresh Pond,US-MA,06 Nov 2004,L207370,S3703351
125,Redhead - Aythya americana,,Fresh Pond,US-MA,01 Oct 2005,L207370,S3703337
126,Common Pochard - Aythya ferina,,"Costa Del Sol, Spain",ES-AN,16 Apr 2005,L918645,S6489476
127,Ring-necked Duck - Aythya collaris,,"Vinebrook Rd yard, Manomet",US-MA,18 Dec 2003,L4090838,S3703349
128,Ferruginous Duck - Aythya nyroca,1,Lake Cheleleka--south end,ET-OR,11 Jan 2015,L3557622,S22817665
129,White-eyed Duck - Aythya australis,1,Sandy Camp Road Wetlands,AU-QLD,24 Nov 2017,L1788977,S40702365
130,Tufted Duck - Aythya fuligula,1,Central Pond,US-RI,05 Feb 2008,L490526,S3488527
131,Greater Scaup - Aythya marila,,"Vinebrook Rd yard, Manomet",US-MA,18 Dec 2003,L4090838,S3703349
132,Lesser Scaup - Aythya affinis,,Fresh Pond,US-MA,06 Nov 2004,L207370,S3703351
133,Steller's Eider - Polysticta stelleri,4,Arctic NWR--Canning River Delta (ASDN camp),US-AK,13 Jun 2014,L1619148,S19207140
134,Spectacled Eider - Somateria fischeri,4,Arctic NWR--Canning River Delta (ASDN camp),US-AK,13 Jun 2012,L1619148,S11130997
135,King Eider - Somateria spectabilis,,Essex,US-MA,02 Feb 2005,L111987,S3701847
136,Common Eider - Somateria mollissima,,Manomet Inc.,US-MA,15 Sep 2004,L207383,S3701690
137,Harlequin Duck - Histrionicus histrionicus,,Essex,US-MA,01 Jan 2005,L111987,S3701839
138,Surf Scoter - Melanitta perspicillata,,Manomet Inc.,US-MA,07 Oct 2004,L207383,S3703460
139,White-winged Scoter - Melanitta fusca,,Manomet Inc.,US-MA,23 Sep 2004,L207383,S3701750
140,Common Scoter - Melanitta nigra,43,"Coto DoÃ±ana -- El Rocio, La Rocina, El Acebuche",ES-AN,24 Apr 2008,L918623,S6490730
141,Black Scoter - Melanitta americana,,Essex,US-MA,05 Feb 2005,L111987,S3701752
142,Long-tailed Duck - Clangula hyemalis,,Barnstable,US-MA,30 Oct 2004,L111983,S3701739
143,Bufflehead - Bucephala albeola,,Essex,US-MA,01 Jan 2005,L111987,S3701839
144,Common Goldeneye - Bucephala clangula,,"Vinebrook Rd yard, Manomet",US-MA,18 Dec 2003,L4090838,S3703349
145,Barrow's Goldeneye - Bucephala islandica,,Bristol,US-MA,02 Jan 2005,L111985,S3703283
146,Smew - Mergellus albellus,3,Uchinada--canal,JP-17,18 Dec 2013,L2472508,S16009307
147,Hooded Merganser - Lophodytes cucullatus,,"Vinebrook Rd yard, Manomet",US-MA,18 Dec 2003,L4090838,S3703349
148,Common Merganser - Mergus merganser,,"Vinebrook Rd yard, Manomet",US-MA,18 Dec 2003,L4090838,S3703349
149,Red-breasted Merganser - Mergus serrator,,"Vinebrook Rd yard, Manomet",US-MA,18 Dec 2003,L4090838,S3703349
150,Scaly-sided Merganser - Mergus squamatus,1,さつま町--川内川--宮之城大橋(轟町) (Satsuma--Sendai River--Miyanojo-Ohashi Bridge (Todoromachi)),JP-46,21 Dec 2013,L2037394,S16059234
151,Ruddy Duck - Oxyura jamaicensis,,Fresh Pond,US-MA,06 Nov 2004,L207370,S3703351
152,White-headed Duck - Oxyura leucocephala,77,Laguna de Medina,ES-AN,08 Apr 2008,L918604,S6490716
153,Lake Duck - Oxyura vittata,2,Lago Tarahuín,CL-LL,07 Feb 2010,L774610,S5875533
154,Blue-billed Duck - Oxyura australis,3,Western Treatment Plant (Werribee)--Lake Borrie,AU-VIC,08 Dec 2017,L2548999,S41370337
155,Musk Duck - Biziura lobata,3,Western Treatment Plant (Werribee)--Lake Borrie,AU-VIC,08 Dec 2017,L2548999,S41370337
156,Australian Brushturkey - Alectura lathami,1,Gold Creek Reservoir,AU-QLD,25 Nov 2017,L976352,S40714707
157,Malleefowl - Leipoa ocellata,2,"AU-VIC-Hopetoun-Walpeup Road (-35.2526,142.1384)",AU-VIC,04 Dec 2017,L6533263,S40900820
158,Orange-footed Scrubfowl - Megapodius reinwardt,2,Freshwater and Saltwater Lakes (Centenary Lakes),AU-QLD,27 Nov 2017,L3319994,S40775513
159,Plain Chachalaca - Ortalis vetula,1,Puerto Morelos--north end,MX-ROO,17 Dec 2012,L1839062,S12309709
160,Gray-headed Chachalaca - Ortalis cinereiceps,,Caño Negro--Río Frío,CR-A,12 Jan 2006,L1428330,S3704825
161,West Mexican Chachalaca - Ortalis poliocephala,1,Playa Zipolite scrubby track,MX-OAX,09 Jan 2013,L1874783,S12550668
162,Chaco Chachalaca - Ortalis canicollis,1,Quebrada de Cafayate,AR-A,04 Aug 2013,L844319,S14872075
163,White-bellied Chachalaca - Ortalis leucogastra,1,Above Mapastepec,MX-CHP,04 Jan 2013,L1865713,S12513210
164,Colombian Chachalaca - Ortalis columbiana,7,RNA Arrierito Antioqueño (Chestnut-capped Piha Reserve),CO-ANT,17 Jun 2011,L603931,S8440471
165,Speckled Chachalaca - Ortalis guttata,1,La Selva Lodge,EC-U,18 Dec 2008,L471722,S4374955
166,Andean Guan - Penelope montagnii,1,Cordillera Guacamayos--Trail from parking area,EC-N,02 Dec 2008,L468859,S4346777
167,Red-faced Guan - Penelope dabbenei,4,Río Yala,AR-Y,04 Aug 2013,L844832,S14872051
168,Spix's Guan - Penelope jacquacu,2,Yasuni Biological Research Station,EC-D,06 Jan 2011,L685430,S7430519
169,Crested Guan - Penelope purpurascens,,PN Arenal,CR-A,10 Jan 2006,L325849,S3704822
170,White-winged Guan - Penelope albipennis,5,Quebrada El Limón (Valqui E4.2),PE-PIU,11 Jan 2010,L493316,S6084055
171,Dusky-legged Guan - Penelope obscura,1,PN Calilegua,AR-Y,11 Aug 2013,L756209,S14915683
172,Blue-throated Piping-Guan - Pipile cumanensis,2,Yasuni Biological Research Station,EC-D,06 Jan 2011,L685430,S7430519
173,Wattled Guan - Aburria aburri,3,Cabañas San Isidro,EC-N,23 Nov 2008,L489454,S4345441
174,Black Guan - Chamaepetes unicolor,,Monteverde,CR-P,07 Jan 2006,L311635,S3704821
