Row #,Species,Count,Location,S/P,Date,LocID,SubID
2440,Plain-capped Ground-Tyrant,1,Antisana,EC-P,14 Jan 2009,L634343,S4461252
2441,Cinnamon-bellied Ground-Tyrant,4,Cerro Tunarí -- puna grasslands,BO-C,21 Aug 2013,L2328550,S14976496
2442,Black-fronted Ground-Tyrant,4,Embalse El Yeso,CL-RM,13 Feb 2010,L516158,S5906924
2443,Black-billed Shrike-Tyrant,2,RN de Junín--Lago Junín/Chinchaycocha,PE-JUN,20 Nov 2009,L846513,S5877051
2444,White-tailed Shrike-Tyrant,1,Calacalí--Sendero de la Virgen (Trail from shrine),EC-P,02 Jan 2009,L481210,S4418865
2445,Gray-bellied Shrike-Tyrant,1,Cafayate--Km 8 monte,AR-A,05 Aug 2013,L2308654,S14862224
2446,Fire-eyed Diucon,7,RN Altos de Lircay,CL-ML,02 Feb 2010,L1186273,S5853334
2447,Gray Monjita,1,Trinidad Airport,BO-B,31 Aug 2013,L2337823,S15080259
2448,Black-crowned Monjita,1,Encalilla,AR-T,06 Aug 2013,L2310095,S14871351
2449,White Monjita,6,Encalilla,AR-T,06 Aug 2013,L2310095,S14871351
2450,Streak-throated Bush-Tyrant,1,Reserva Yanacocha,EC-P,22 Dec 2008,L1396997,S4397690
2451,Smoky Bush-Tyrant,1,Cordillera Guacamayos--Trail from parking area,EC-N,02 Dec 2008,L468859,S4346777
2452,Rufous-bellied Bush-Tyrant,2,Chuspipata--upper Old Coroico Rd.,BO-L,26 Aug 2013,L998474,S15022436
2453,Rufous-webbed Bush-Tyrant,1,PN Huascarán--Abra Portachuelo,PE-ANC,23 Jan 2010,L688976,S6084236
2454,Pied Water-Tyrant,3,Contamana River,PE-LOR,03 Dec 2009,L846515,S5877067
2455,Masked Water-Tyrant,4,Mindo--general area (*Please consider using a more specific hotspot or personal location when possible.),EC-P,23 Dec 2008,L574561,S4397710
2456,Tumbes Tyrant,1,Quebrada El Limón (Valqui E4.2),PE-PIU,11 Jan 2010,L493316,S6084055
2457,Crowned Chat-Tyrant,1,Bosque Unchog (Valqui D5.3),PE-HUC,12 Dec 2009,L602837,S5877077
2458,Golden-browed Chat-Tyrant,1,Corani--aquaduct road,BO-C,20 Aug 2013,L997580,S14966854
2459,Yellow-bellied Chat-Tyrant,1,RNA Colibri del Sol (Dusky Starfrontlet Reserve),CO-ANT,20 Jun 2011,L751363,S8454785
2460,Slaty-backed Chat-Tyrant,3,Cordillera Guacamayos--Trail from parking area,EC-N,27 Nov 2008,L468859,S4346775
2461,Rufous-breasted Chat-Tyrant,3,Guango Lodge,EC-N,08 Dec 2008,L489428,S4346846
2462,Brown-backed Chat-Tyrant,1,Reserva Ecológica Cayambe-Coca,EC-N,30 Nov 2008,L621682,S4346792
2463,d'Orbigny's Chat-Tyrant,1,PN Huascarán--Abra Portachuelo,PE-ANC,23 Jan 2010,L688976,S6084236
2464,Piura Chat-Tyrant,3,San Damian,PE-ANC,26 Jan 2010,L863311,S6084240
2465,White-browed Chat-Tyrant,1,Satipo Rd Gynoxys forest,PE-JUN,24 Nov 2009,L846522,S5877029
2466,Patagonian Tyrant,9,RN Altos de Lircay,CL-ML,02 Feb 2010,L1186273,S5853334
2467,Long-tailed Tyrant,1,Upper Loreto Road (800-1400 m),EC-N,28 Nov 2008,L468856,S4346725
2468,Short-tailed Field Tyrant,1,Sitio Arqueológico Chao,PE-LAL,12 Jan 2010,L863282,S6084056
2469,Cattle Tyrant,4,Taco Pozo -- NW road,AR-H,10 Aug 2013,L2317433,S14915684
2470,Large-headed Flatbill,5,Reserva El Para,EC-N,14 Jan 2011,L820840,S7438824
2471,Rufous-tailed Flatbill,2,Camino Mitù,CO-VAU,10 Jun 2011,L1193330,S8408937
2472,Dusky-tailed Flatbill,1,Reserva El Para,EC-N,14 Jan 2011,L820840,S7438824
2473,Cinnamon Attila,1,La Selva Lodge,EC-U,19 Dec 2008,L471722,S4374956
2474,Citron-bellied Attila,1,La Selva Lodge,EC-U,18 Dec 2008,L471722,S4374955
2475,Dull-capped Attila,3,Lago Yarinacocha,PE-UCA,07 Dec 2009,L846518,S5877070
2476,Bright-rumped Attila,1,La Selva Lodge,EC-U,18 Dec 2008,L471722,S4374955
2477,Rufous Casiornis,1,Quebrada Upaquihua,PE-SAM,01 Jan 2010,L863240,S6083584
2478,Rufous Mourner,4,Sendero Ibe Igar,PA-KY,18 Mar 2009,L473673,S4765938
2479,Grayish Mourner,1,Yasuni Biological Research Station,EC-D,06 Jan 2011,L685430,S7430519
2480,Rufous Flycatcher,1,Mocupe,PE-LAM,18 Jan 2010,L863288,S6084062
